zonas,enderecos,precos,area,quarto
norte,"Limão, São Paulo Zona Norte, São Paulo",1610,49.0,2.0
norte,"Rua Joseph Nigri, Jardim Peri, São Paulo Zona Norte, São Paulo",4000,83.0,2.0
norte,"Jardim Mariliza, São Paulo Zona Norte, São Paulo",1435,60.0,2.0
norte,"Rua Jacofer, Jardim Pereira Leite, São Paulo Zona Norte, São Paulo",2314,60.0,2.0
norte,"Protendit, São Paulo Zona Norte, São Paulo",1700,50.0,2.0
norte,"Rua Augusto Tolle, Santana, São Paulo Zona Norte, São Paulo",6000,217.0,4.0
norte,"Jardim Peri, São Paulo Zona Norte, São Paulo",1800,50.0,2.0
norte,"Rua Cândida Franco De Barros, Itaberaba, São Paulo Zona Norte, São Paulo",2200,45.0,2.0
norte,"Avenida Nelson Palma Travassos, Loteamento City Jaragua, São Paulo Zona Norte, São Paulo",1080,46.0,2.0
norte,"Rua Padre Gualberto De Lima, Parque Monteiro Soares, São Paulo Zona Norte, São Paulo",1200,55.0,2.0
norte,"Avenida Braz Leme, Santana, São Paulo Zona Norte, São Paulo",3000,105.0,3.0
norte,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",2100,44.0,1.0
norte,"Rua Eduardo Leopoldo, Vila Guilherme, São Paulo Zona Norte, São Paulo",2790,65.0,2.0
norte,"Avenida Clavásio Alves Da Silva, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1866,57.0,2.0
norte,"Vila Amália, São Paulo Zona Norte, São Paulo",1350,50.0,2.0
norte,"Rua Vitalina Moura, Vila Roque, São Paulo Zona Norte, São Paulo",1390,55.0,2.0
norte,"Vila Barbosa, São Paulo Zona Norte, São Paulo",1500,50.0,2.0
norte,"Rua Tito Nicolau, Vila Amália, São Paulo Zona Norte, São Paulo",1350,52.0,2.0
norte,"Avenida Marechal Eurico Gaspar Dutra, Santana, São Paulo Zona Norte, São Paulo",2500,68.0,3.0
norte,"Santana, São Paulo Zona Norte, São Paulo",1350,60.0,2.0
norte,"Rua Flor De Ouro, Vila Nova Galvão, São Paulo Zona Norte, São Paulo",750,35.0,1.0
norte,"Jardim Centenário, São Paulo Zona Norte, São Paulo",1300,47.0,2.0
norte,"Avenida Nossa Senhora Do Ó, Limão, São Paulo Zona Norte, São Paulo",1650,50.0,2.0
norte,"Rua Rubiácea, Água Fria, São Paulo Zona Norte, São Paulo",3200,83.0,3.0
norte,"Rua Itza, Jardim Modelo, São Paulo Zona Norte, São Paulo",1800,56.0,2.0
norte,"Vila Mangalot, São Paulo Zona Norte, São Paulo",2600,75.0,
norte,"Itaberaba, São Paulo Zona Norte, São Paulo",1450,50.0,2.0
norte,"Vila Amália, São Paulo Zona Norte, São Paulo",1350,52.0,2.0
norte,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",3000,135.0,3.0
norte,"Jardim Regina, São Paulo Zona Norte, São Paulo",1300,55.0,2.0
norte,"Avenida Michihisa Murata, Jardim Maristela, São Paulo Zona Norte, São Paulo",1200,58.0,2.0
norte,"Rua Severa,
                1041, Vila Maria, São Paulo Zona Norte, São Paulo",2080,58.0,2.0
norte,"Rua Tito Nicolau, Vila Amália, São Paulo Zona Norte, São Paulo",1350,52.0,2.0
norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3500,87.0,3.0
norte,"Rua Doutor Guilherme Cristofel, Santana, São Paulo Zona Norte, São Paulo",2100,68.0,2.0
norte,"Rua Guaraja, Vila Mazzei, São Paulo Zona Norte, São Paulo",2100,65.0,3.0
norte,"Avenida Edu Chaves, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1500,69.0,2.0
norte,"Rua João Amado Coutinho, Conjunto Residencial Elisio Teixeira Leite, São Paulo Zona Norte, São Paulo",1000,52.0,2.0
norte,"Rua Jerônima Dias, Água Fria, São Paulo Zona Norte, São Paulo",4450,252.0,3.0
norte,"Santana, São Paulo Zona Norte, São Paulo",1500,74.0,2.0
norte,"Rua Roque De Morais, Limão, São Paulo Zona Norte, São Paulo",1600,74.0,2.0
norte,"Avenida Monte Celeste, Vila Santa Maria, São Paulo Zona Norte, São Paulo",2300,56.0,2.0
norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1400,50.0,2.0
norte,"Loteamento City Jaragua, São Paulo Zona Norte, São Paulo",950,46.0,2.0
norte,"Rua Comandante Antônio Paiva Sampaio, Parque Vitória, São Paulo Zona Norte, São Paulo",2400,60.0,2.0
norte,"Casa Verde, São Paulo Zona Norte, São Paulo",2300,67.0,2.0
norte,"Avenida Sebastião Henriques, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",2000,65.0,2.0
norte,"Avenida Doutor Francisco Ranieri, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1100,55.0,2.0
norte,"Rua Daniel Vieira, Vila Guaca, São Paulo Zona Norte, São Paulo",1300,48.0,2.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Avenida Deputado Emílio Carlos, Limão, São Paulo Zona Norte, São Paulo",1350,58.0,2.0
norte,"Rua Tito Nicolau, Vila Amália, São Paulo Zona Norte, São Paulo",1350,52.0,2.0
norte,"Santa Teresinha, São Paulo Zona Norte, São Paulo",2950,73.0,2.0
norte,"Vila Nivi, São Paulo Zona Norte, São Paulo",2200,66.0,3.0
norte,"Rua Josefina Arnoni, Vila Irmãos Arnoni, São Paulo Zona Norte, São Paulo",1100,55.0,2.0
norte,"Rua Antônio Ribeiro De Morais, Vila Carbone, São Paulo Zona Norte, São Paulo",1800,70.0,3.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1300,39.0,1.0
