zonas,precos,area,quarto
oeste,7.550135342488429,4.02535169073515,2.0
sul,9.208438564686587,4.997212273764115,3.0
oeste,7.601402334583733,4.060443010546419,2.0
oeste,8.612685172875459,5.081404364984463,3.0
leste,7.3783837129967145,3.713572066704308,2.0
norte,8.006700845440367,3.9889840465642745,2.0
leste,6.90875477931522,3.8066624897703196,2.0
oeste,8.061802274538348,4.2626798770413155,2.0
oeste,8.006700845440367,3.912023005428146,2.0
norte,7.824445930877619,3.828641396489095,1.0
sul,9.04793908261736,4.343805421853684,2.0
oeste,7.8636512654486515,4.709530201312334,3.0
leste,7.00850518208228,4.04305126783455,2.0
leste,8.517393171418904,4.663439094112067,3.0
sul,8.434028950155469,3.9512437185814275,1.0
leste,9.210440366976517,4.955827057601261,3.0
oeste,8.160803920954665,4.330733340286331,2.0
norte,8.006700845440367,4.663439094112067,3.0
norte,7.313886831633462,4.248495242049359,2.0
norte,7.824445930877619,4.553876891600541,3.0
oeste,7.496097345175956,3.8918202981106265,2.0
norte,7.496097345175956,4.04305126783455,2.0
leste,7.313886831633462,3.8712010109078907,2.0
sul,8.071218539969863,4.189654742026425,2.0
leste,7.989899374942939,4.499809670330265,3.0
leste,7.650168700845001,4.219507705176107,2.0
leste,7.741099090035366,4.356708826689592,3.0
sul,8.556606193773073,5.062595033026967,3.0
leste,7.576097340623111,3.8918202981106265,2.0
leste,8.45553053102413,5.6240175061873385,3.0
oeste,8.77971129020447,4.394449154672439,2.0
leste,7.650168700845001,4.394449154672439,3.0
norte,7.313886831633462,4.1588830833596715,2.0
sul,8.071218539969863,3.970291913552122,1.0
norte,7.208600337960199,3.970291913552122,2.0
oeste,8.006700845440367,4.653960350157523,2.0
oeste,9.61587214452889,5.351858133476067,3.0
sul,7.24422751560335,4.0943445622221,1.0
leste,7.484930283289661,4.007333185232471,2.0
norte,7.409136443920128,4.110873864173311,3.0
sul,9.6678285081515,5.214935757608986,3.0
norte,7.00397413672268,4.02535169073515,2.0
norte,6.621405651764134,3.58351893845611,1.0
sul,8.213652703029998,4.61512051684126,3.0
norte,7.696667081526462,4.394449154672439,3.0
oeste,7.937731775260109,4.430816798843313,3.0
leste,7.523481312573497,3.8918202981106265,2.0
sul,8.412054873292933,4.532599493153256,2.0
norte,7.00397413672268,4.07753744390572,2.0
oeste,7.409136443920128,3.7612001156935624,1.0
norte,7.0909098220799835,4.07753744390572,2.0
norte,8.071218539969863,5.0689042022202315,4.0
oeste,8.291797105048733,4.007333185232471,1.0
oeste,7.783640596221253,4.330733340286331,3.0
oeste,9.60245002503719,5.5254529391317835,4.0
oeste,8.24301946898925,4.418840607796598,3.0
norte,7.650168700845001,4.23410650459726,2.0
leste,7.496097345175956,4.290459441148391,3.0
norte,7.741099090035366,3.8066624897703196,1.0
leste,7.696667081526462,4.110873864173311,2.0
leste,7.208600337960199,4.189654742026425,2.0
sul,7.601402334583733,4.143134726391533,3.0
norte,7.0909098220799835,4.04305126783455,2.0
sul,8.612685172875459,4.290459441148391,2.0
leste,7.824445930877619,4.836281906951478,3.0
oeste,8.308938252595778,3.8066624897703196,2.0
oeste,7.696667081526462,3.912023005428146,2.0
oeste,8.146419323098003,4.189654742026425,2.0
sul,8.517393171418904,4.343805421853684,2.0
norte,7.824445930877619,4.110873864173311,2.0
sul,8.006700845440367,4.51085950651685,3.0
sul,8.131824785007195,4.1588830833596715,2.0
leste,8.517393171418904,4.663439094112067,3.0
norte,7.346655163176539,4.110873864173311,2.0
norte,8.071218539969863,4.430816798843313,3.0
norte,7.550135342488429,3.9318256327243257,0.0
sul,9.392745258631441,5.8111409929767,4.0
norte,8.517393171418904,4.897839799950911,3.0
sul,7.3783837129967145,4.189654742026425,3.0
leste,7.824445930877619,4.454347296253507,3.0
leste,7.496097345175956,4.07753744390572,2.0
leste,7.313886831633462,3.9318256327243257,2.0
norte,7.346655163176539,3.9318256327243257,2.0
oeste,7.901377353792616,4.2626798770413155,2.0
oeste,7.438971592395862,4.3694478524670215,3.0
sul,8.343077871169383,3.58351893845611,1.0
oeste,9.04793908261736,5.099866427824199,3.0
