zonas,areas_quartos,enderecos,precos
norte,158 m² construídos4 quartos,"Água Fria, São Paulo Zona Norte, São Paulo",3.200
norte,107 m² construídos3 quartos,"Rua João De Sousa Dias, Jardim Virgínia Bianca, São Paulo Zona Norte, São Paulo",3.800
norte,60 m² construídos3 quartos,"Rua Soldado José Fernandes Da Silva, Jardim Japão, São Paulo Zona Norte, São Paulo",2.000
norte,48 m² construídos2 quartos,"Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1.050
norte,80 m² construídos2 quartos,"Rua Desembargador Euclides Da Silveira, Casa Verde, São Paulo Zona Norte, São Paulo",4.700
norte,48 m² construídos2 quartos,"Vila Medeiros, São Paulo Zona Norte, São Paulo",1.500
norte,98 m² construídos3 quartos,"Limão, São Paulo Zona Norte, São Paulo",2.800
norte,40 m² construídos2 quartos,"Sítio Morro Grande, São Paulo Zona Norte, São Paulo",1.600
norte,47 m² construídos2 quartos,"Vila Marina, São Paulo Zona Norte, São Paulo",1.650
norte,80 m² construídos3 quartos,"Av. Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3.900
norte,49 m² construídos2 quartos,"Limão, São Paulo Zona Norte, São Paulo",1.610
norte,83 m² construídos2 quartos,"Rua Joseph Nigri, Jardim Peri, São Paulo Zona Norte, São Paulo",4.000
norte,60 m² construídos2 quartos,"Jardim Mariliza, São Paulo Zona Norte, São Paulo",1.435
norte,60 m² construídos2 quartos,"Rua Jacofer, Jardim Pereira Leite, São Paulo Zona Norte, São Paulo",2.314
norte,50 m² construídos2 quartos,"Protendit, São Paulo Zona Norte, São Paulo",1.700
norte,217 m² construídos4 quartos,"Rua Augusto Tolle, Santana, São Paulo Zona Norte, São Paulo",6.000
norte,50 m² construídos2 quartos,"Jardim Peri, São Paulo Zona Norte, São Paulo",1.800
norte,45 m² construídos2 quartos,"Rua Cândida Franco De Barros, Itaberaba, São Paulo Zona Norte, São Paulo",2.200
norte,46 m² construídos2 quartos,"Avenida Nelson Palma Travassos, Loteamento City Jaragua, São Paulo Zona Norte, São Paulo",1.080
norte,55 m² construídos2 quartos,"Rua Padre Gualberto De Lima, Parque Monteiro Soares, São Paulo Zona Norte, São Paulo",1.200
norte,105 m² construídos3 quartos,"Avenida Braz Leme, Santana, São Paulo Zona Norte, São Paulo",3.000
norte,44 m² construídos1 quarto,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",2.100
norte,65 m² construídos2 quartos,"Rua Eduardo Leopoldo, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.790
norte,57 m² construídos2 quartos,"Avenida Clavásio Alves Da Silva, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.866
norte,50 m² construídos2 quartos,"Vila Amália, São Paulo Zona Norte, São Paulo",1.350
norte,55 m² construídos2 quartos,"Rua Vitalina Moura, Vila Roque, São Paulo Zona Norte, São Paulo",1.390
norte,50 m² construídos2 quartos,"Vila Barbosa, São Paulo Zona Norte, São Paulo",1.500
norte,52 m² construídos2 quartos,"Rua Tito Nicolau, Vila Amália, São Paulo Zona Norte, São Paulo",1.350
norte,68 m² construídos3 quartos,"Avenida Marechal Eurico Gaspar Dutra, Santana, São Paulo Zona Norte, São Paulo",2.500
norte,60 m² construídos2 quartos,"Santana, São Paulo Zona Norte, São Paulo",1.350
norte,35 m² construídos1 quarto,"Rua Flor De Ouro, Vila Nova Galvão, São Paulo Zona Norte, São Paulo",750
norte,47 m² construídos2 quartos,"Jardim Centenário, São Paulo Zona Norte, São Paulo",1.300
norte,50 m² construídos2 quartos,"Avenida Nossa Senhora Do Ó, Limão, São Paulo Zona Norte, São Paulo",1.650
norte,83 m² construídos3 quartos,"Rua Rubiácea, Água Fria, São Paulo Zona Norte, São Paulo",3.200
norte,56 m² construídos2 quartos,"Rua Itza, Jardim Modelo, São Paulo Zona Norte, São Paulo",1.800
norte,75 m² totais3 quartos,"Vila Mangalot, São Paulo Zona Norte, São Paulo",2.600
norte,50 m² construídos2 quartos,"Itaberaba, São Paulo Zona Norte, São Paulo",1.450
norte,52 m² construídos2 quartos,"Vila Amália, São Paulo Zona Norte, São Paulo",1.350
norte,135 m² construídos3 quartos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",3.000
norte,55 m² construídos2 quartos,"Jardim Regina, São Paulo Zona Norte, São Paulo",1.300
norte,58 m² construídos2 quartos,"Avenida Michihisa Murata, Jardim Maristela, São Paulo Zona Norte, São Paulo",1.200
norte,58 m² construídos2 quartos,"Rua Severa,
                1041, Vila Maria, São Paulo Zona Norte, São Paulo",2.080
norte,52 m² construídos2 quartos,"Rua Tito Nicolau, Vila Amália, São Paulo Zona Norte, São Paulo",1.350
norte,87 m² construídos3 quartos,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3.500
norte,68 m² construídos2 quartos,"Rua Doutor Guilherme Cristofel, Santana, São Paulo Zona Norte, São Paulo",2.100
norte,65 m² construídos3 quartos,"Rua Guaraja, Vila Mazzei, São Paulo Zona Norte, São Paulo",2.100
norte,69 m² construídos2 quartos,"Avenida Edu Chaves, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.500
norte,52 m² construídos2 quartos,"Rua João Amado Coutinho, Conjunto Residencial Elisio Teixeira Leite, São Paulo Zona Norte, São Paulo",1.000
norte,252 m² construídos3 quartos,"Rua Jerônima Dias, Água Fria, São Paulo Zona Norte, São Paulo",4.450
norte,74 m² construídos2 quartos,"Santana, São Paulo Zona Norte, São Paulo",1.500
norte,74 m² construídos2 quartos,"Rua Roque De Morais, Limão, São Paulo Zona Norte, São Paulo",1.600
norte,56 m² construídos2 quartos,"Avenida Monte Celeste, Vila Santa Maria, São Paulo Zona Norte, São Paulo",2.300
norte,50 m² construídos2 quartos,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.400
norte,46 m² construídos2 quartos,"Loteamento City Jaragua, São Paulo Zona Norte, São Paulo",950
norte,60 m² construídos2 quartos,"Rua Comandante Antônio Paiva Sampaio, Parque Vitória, São Paulo Zona Norte, São Paulo",2.400
norte,67 m² construídos2 quartos,"Casa Verde, São Paulo Zona Norte, São Paulo",2.300
norte,65 m² construídos2 quartos,"Avenida Sebastião Henriques, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",2.000
norte,55 m² construídos2 quartos,"Avenida Doutor Francisco Ranieri, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.100
norte,48 m² construídos2 quartos,"Rua Daniel Vieira, Vila Guaca, São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
norte,39 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.300
