zonas_leste,zonas_norte,zonas_oeste,zonas_sul,precos,area,quarto
1,0,0,0,8.517393171418904,4.663439094112067,1.3862943611198906
0,1,0,0,7.8636512654486515,4.770684624465665,1.3862943611198906
0,0,0,1,8.839421607620602,4.875197323201151,1.3862943611198906
1,0,0,0,7.523481312573497,3.8918202981106265,1.0986122886681096
0,1,0,0,7.696667081526462,4.2626798770413155,1.0986122886681096
1,0,0,0,9.210440366976517,4.955827057601261,1.3862943611198906
1,0,0,0,7.824445930877619,4.174387269895637,1.3862943611198906
0,0,0,1,7.783640596221253,4.204692619390966,1.0986122886681096
0,1,0,0,7.208600337960199,3.970291913552122,1.0986122886681096
0,0,0,1,7.313886831633462,4.04305126783455,1.0986122886681096
0,0,0,1,8.160803920954665,4.02535169073515,0.6931471805599453
0,0,1,0,7.1316985104669115,3.8918202981106265,1.0986122886681096
0,0,0,1,8.160803920954665,4.574710978503383,1.0986122886681096
0,1,0,0,7.0909098220799835,4.110873864173311,1.0986122886681096
1,0,0,0,7.313886831633462,3.8712010109078907,1.0986122886681096
1,0,0,0,7.937374696163295,4.189654742026425,1.0986122886681096
1,0,0,0,7.3783837129967145,3.9512437185814275,1.0986122886681096
1,0,0,0,7.989899374942939,4.499809670330265,1.3862943611198906
0,1,0,0,7.170888478512505,4.02535169073515,1.0986122886681096
1,0,0,0,7.741099090035366,4.356708826689592,1.3862943611198906
0,0,1,0,8.131824785007195,4.330733340286331,1.0986122886681096
0,0,0,1,8.434680769841773,4.127134385045092,1.0986122886681096
1,0,0,0,7.576097340623111,3.8918202981106265,1.0986122886681096
0,0,1,0,7.937731775260109,4.430816798843313,1.3862943611198906
1,0,0,0,6.883462586413092,4.04305126783455,1.0986122886681096
1,0,0,0,7.650168700845001,4.394449154672439,1.3862943611198906
0,0,0,1,8.294299608857235,4.61512051684126,1.3862943611198906
0,1,0,0,8.101980731853192,4.394449154672439,1.3862943611198906
1,0,0,0,8.412054873292933,5.198497031265826,1.3862943611198906
0,0,0,1,8.962007209588313,5.1298987149230735,1.3862943611198906
1,0,0,0,7.8636512654486515,4.04305126783455,1.0986122886681096
1,0,0,0,7.650168700845001,4.219507705176107,1.0986122886681096
0,1,0,0,7.313886831633462,3.713572066704308,1.0986122886681096
0,0,1,0,7.8636512654486515,3.58351893845611,0.6931471805599453
1,0,0,0,7.540090320145325,3.828641396489095,1.0986122886681096
0,0,0,1,7.313886831633462,3.713572066704308,1.0986122886681096
0,0,1,0,6.898714534329988,3.828641396489095,1.0986122886681096
0,0,1,0,8.24301946898925,4.418840607796598,1.3862943611198906
0,0,0,1,7.919719760924575,4.143134726391533,1.0986122886681096
0,0,1,0,7.8636512654486515,4.110873864173311,1.0986122886681096
1,0,0,0,7.824445930877619,4.02535169073515,1.0986122886681096
0,1,0,0,7.208600337960199,3.970291913552122,1.0986122886681096
0,0,1,0,7.438971592395862,3.828641396489095,0.6931471805599453
0,0,0,1,8.294299608857235,4.77912349311153,1.3862943611198906
0,0,1,0,8.630700432209832,5.37989735354046,1.3862943611198906
0,0,1,0,7.901377353792616,4.143134726391533,1.0986122886681096
0,0,1,0,7.8826922062890254,3.8918202981106265,0.6931471805599453
1,0,0,0,7.00397413672268,3.9318256327243257,1.0986122886681096
0,1,0,0,7.409136443920128,4.110873864173311,1.3862943611198906
0,0,0,1,7.244941546337007,3.6635616461296463,1.0986122886681096
0,1,0,0,7.650168700845001,4.23410650459726,1.0986122886681096
0,0,1,0,7.696667081526462,4.02535169073515,1.0986122886681096
0,0,1,0,8.160803920954665,4.3694478524670215,1.0986122886681096
