zonas_leste,zonas_norte,zonas_oeste,zonas_sul,quarto,area,precos
0,1,0,0,1.0986122886681096,4.110873864173311,7.409136443920128
0,1,0,0,1.0986122886681096,4.430816798843313,8.294299608857235
0,0,0,1,0.6931471805599453,3.6635616461296463,7.3783837129967145
0,0,0,1,1.0986122886681096,4.356708826689592,8.486940148245216
0,1,0,0,1.6094379124341003,5.303304908059076,8.922791623969637
0,0,1,0,0.6931471805599453,3.6635616461296463,7.696667081526462
1,0,0,0,1.0986122886681096,4.2626798770413155,7.741099090035366
0,1,0,0,1.3862943611198906,4.394449154672439,8.268988209506656
0,1,0,0,1.0986122886681096,3.8918202981106265,7.170888478512505
0,0,1,0,1.3862943611198906,5.181783550292085,8.732465848349879
0,1,0,0,1.0986122886681096,4.2626798770413155,8.412054873292933
1,0,0,0,1.0986122886681096,4.110873864173311,7.762596048540069
0,1,0,0,1.0986122886681096,4.02535169073515,7.237778191923443
0,1,0,0,1.0986122886681096,3.9318256327243257,7.496097345175956
0,0,1,0,1.0986122886681096,4.02535169073515,7.438971592395862
1,0,0,0,1.0986122886681096,3.8918202981106265,7.3783837129967145
0,1,0,0,1.3862943611198906,4.2626798770413155,7.496097345175956
0,0,1,0,1.0986122886681096,4.23410650459726,7.824445930877619
1,0,0,0,1.3862943611198906,5.176149732573829,9.259225769705994
0,0,0,1,1.0986122886681096,4.02535169073515,7.989899374942939
0,1,0,0,1.0986122886681096,3.58351893845611,7.313886831633462
1,0,0,0,1.3862943611198906,4.477336814478207,7.989899374942939
0,1,0,0,1.3862943611198906,4.553876891600541,7.824445930877619
0,0,0,1,1.0986122886681096,4.574710978503383,9.018089684104343
0,0,1,0,0.6931471805599453,3.713572066704308,7.1316985104669115
0,1,0,0,1.0986122886681096,3.8918202981106265,7.496097345175956
1,0,0,0,0.6931471805599453,3.2188758248682006,7.3783837129967145
0,0,1,0,1.0986122886681096,4.110873864173311,7.824445930877619
0,0,0,1,1.0986122886681096,4.143134726391533,7.170888478512505
0,0,1,0,1.0986122886681096,4.418840607796598,8.101980731853192
0,1,0,0,1.0986122886681096,4.110873864173311,7.208600337960199
1,0,0,0,1.0986122886681096,4.31748811353631,7.696667081526462
1,0,0,0,0.6931471805599453,3.367295829986474,7.0909098220799835
1,0,0,0,1.0986122886681096,4.189654742026425,7.496097345175956
0,0,0,1,1.0986122886681096,4.2626798770413155,8.853808274977197
0,1,0,0,1.0986122886681096,4.02535169073515,7.170888478512505
0,1,0,0,1.6094379124341003,5.043425116919247,8.160803920954665
0,1,0,0,1.0986122886681096,4.31748811353631,7.313886831633462
0,0,1,0,0.6931471805599453,3.6635616461296463,7.650168700845001
0,0,0,1,1.0986122886681096,4.663439094112067,9.532423871145296
0,0,0,1,0.6931471805599453,3.58351893845611,8.294299608857235
0,0,1,0,1.3862943611198906,4.343805421853684,7.783640596221253
0,0,0,1,1.3862943611198906,5.117993812416755,9.90353755128617
0,0,1,0,1.0986122886681096,4.04305126783455,7.937374696163295
0,0,1,0,0.6931471805599453,4.02535169073515,7.438971592395862
0,1,0,0,1.6094379124341003,5.4638318050256105,8.517393171418904
0,0,0,1,0.6931471805599453,4.02535169073515,8.343077871169383
0,1,0,0,1.0986122886681096,4.07753744390572,7.0909098220799835
0,1,0,0,1.0986122886681096,3.970291913552122,7.244941546337007
