zonas,precos,area,quarto
oeste,7.496097345175956,3.4965075614664802,1.0
oeste,8.101980731853192,4.418840607796598,2.0
sul,8.294299608857235,4.499809670330265,2.0
sul,7.496097345175956,3.9889840465642745,2.0
sul,7.346655163176539,4.3694478524670215,2.0
leste,7.438971592395862,4.04305126783455,2.0
sul,7.696667081526462,4.499809670330265,2.0
oeste,8.006700845440367,4.394449154672439,2.0
sul,8.160803920954665,4.189654742026425,2.0
leste,6.994849985833071,3.713572066704308,2.0
leste,7.3783837129967145,3.2188758248682006,1.0
norte,7.170888478512505,3.6888794541139363,1.0
oeste,7.696667081526462,4.2626798770413155,3.0
oeste,8.160803920954665,4.189654742026425,2.0
sul,8.412054873292933,3.8918202981106265,1.0
leste,8.412054873292933,4.5217885770490405,3.0
sul,7.496097345175956,3.828641396489095,1.0
sul,7.313886831633462,3.4011973816621555,1.0
sul,8.366835309827675,4.304065093204169,2.0
leste,7.00397413672268,3.367295829986474,1.0
sul,7.170888478512505,4.143134726391533,2.0
leste,10.308985993422082,5.648974238161206,3.0
leste,9.38437770918244,5.25227342804663,3.0
leste,8.412054873292933,4.532599493153256,3.0
oeste,8.682877107057168,4.875197323201151,2.0
oeste,8.77971129020447,3.8501476017100584,1.0
oeste,8.294299608857235,4.3694478524670215,2.0
sul,8.537191877922927,3.9889840465642745,1.0
oeste,8.268988209506656,4.543294782270004,3.0
norte,7.601402334583733,4.110873864173311,3.0
sul,7.937731775260109,3.828641396489095,1.0
leste,6.883462586413092,4.04305126783455,0.0
norte,7.170888478512505,3.6888794541139363,1.0
oeste,7.824445930877619,4.110873864173311,2.0
oeste,8.748463629942055,4.795790545596741,3.0
oeste,7.313886831633462,4.110873864173311,2.0
leste,7.937374696163295,4.189654742026425,2.0
sul,7.244941546337007,3.4965075614664802,1.0
oeste,7.824445930877619,4.23410650459726,2.0
norte,8.268988209506656,4.394449154672439,3.0
oeste,9.012011377036412,5.1298987149230735,3.0
leste,7.3783837129967145,3.9318256327243257,2.0
leste,8.517393171418904,4.663439094112067,3.0
sul,8.575650760987806,4.795790545596741,3.0
norte,7.313886831633462,3.8918202981106265,2.0
oeste,7.244941546337007,4.110873864173311,2.0
sul,9.018089684104343,4.574710978503383,2.0
norte,7.208600337960199,4.110873864173311,2.0
norte,7.783640596221253,4.110873864173311,2.0
oeste,8.071218539969863,3.5553480614894135,1.0
leste,7.783640596221253,3.9512437185814275,1.0
oeste,7.313886831633462,3.828641396489095,2.0
sul,7.208600337960199,4.2626798770413155,2.0
norte,7.3783837129967145,3.713572066704308,2.0
oeste,7.650168700845001,3.8066624897703196,1.0
sul,6.621405651764134,3.58351893845611,1.0
norte,7.170888478512505,3.6888794541139363,1.0
leste,9.259225769705994,5.176149732573829,3.0
norte,7.1316985104669115,4.110873864173311,2.0
norte,6.90875477931522,3.970291913552122,2.0
oeste,7.1316985104669115,3.713572066704308,1.0
sul,8.853808274977197,4.2626798770413155,2.0
norte,7.170888478512505,4.02535169073515,2.0
leste,7.170888478512505,3.8066624897703196,2.0
leste,7.438971592395862,4.61512051684126,2.0
norte,7.696667081526462,4.204692619390966,3.0
leste,7.550135342488429,4.110873864173311,2.0
sul,7.00397413672268,4.110873864173311,2.0
leste,6.862757913051401,3.8918202981106265,0.0
leste,7.741099090035366,4.465908118654584,3.0
norte,7.244941546337007,3.4965075614664802,1.0
norte,8.160803920954665,5.043425116919247,4.0
leste,8.922791623969637,5.831882477283517,4.0
leste,7.650168700845001,3.828641396489095,1.0
leste,7.3783837129967145,4.02535169073515,2.0
sul,9.581972891547895,5.303304908059076,3.0
sul,8.648396877031582,4.51085950651685,2.0
oeste,8.006700845440367,3.8066624897703196,1.0
oeste,7.4127640174265625,4.31748811353631,2.0
oeste,7.937374696163295,4.04305126783455,2.0
sul,8.612685172875459,4.110873864173311,2.0
sul,8.556606193773073,4.276666119016055,2.0
oeste,9.012011377036412,5.017279836814924,4.0
norte,8.03947991910045,5.231108616854587,3.0
leste,7.601402334583733,3.9318256327243257,2.0
oeste,7.824445930877619,3.6375861597263857,1.0
leste,7.496097345175956,4.394449154672439,2.0
leste,6.90875477931522,4.04305126783455,2.0
oeste,9.392745258631441,5.351858133476067,3.0
sul,7.8636512654486515,4.418840607796598,2.0
sul,9.392745258631441,5.488937726156687,3.0
oeste,8.131824785007195,3.828641396489095,1.0
sul,8.517393171418904,4.61512051684126,3.0
leste,9.392745258631441,5.455321115357702,3.0
sul,7.741099090035366,4.189654742026425,2.0
